size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating_label
132510720,0.0,878563,8253,4.5,1524,0,11,37,5,18,1,0
37001216,0.0,22,0,0.0,1063,2,6,37,0,30,1,0
64147456,0.0,10472,58,2.0,1505,1,19,37,5,1,0,0
100779008,0.0,115,70,5.0,1218,1,13,37,4,1,0,0
123718656,1.99,13915,205,5.0,1232,2,22,37,2,8,1,0
126312448,1.99,6780,68,4.5,381,3,7,38,0,5,1,0
79882240,7.99,1701,35,4.5,1343,2,15,37,5,21,1,0
6418432,1.99,6,0,0.0,1084,2,8,37,0,8,1,0
74093568,0.0,19,0,0.0,1385,2,21,37,5,1,1,2
12937216,4.99,3483,79,5.0,1284,2,10,37,0,14,1,0
53388288,0.0,2838,26,2.5,1375,2,14,37,5,12,1,2
118498304,0.0,117889,725,4.5,966,2,4,38,1,1,1,2
103197675,0.99,50710,309,4.0,420,3,7,45,0,1,1,0
24574976,2.99,3960,0,0.0,1209,2,22,37,0,1,1,0
96093184,0.0,24258,305,2.5,786,2,4,37,0,1,1,2
77700096,0.0,37522,39,3.0,1501,2,19,37,4,1,1,0
180804608,0.0,49578,16,3.0,1331,2,15,37,5,20,1,0
56397824,0.99,626,44,5.0,624,2,4,38,5,2,1,0
229272576,1.99,9286,49,3.5,1075,2,7,38,5,1,1,0
131000320,0.0,190670,19,2.5,1544,1,19,37,3,45,1,0
53097472,19.99,2429,8,3.5,539,2,12,37,5,16,1,0
3375104,3.99,0,0,0.0,1227,2,5,37,5,3,1,1
108166144,0.0,12811,134,1.5,1267,2,12,37,0,22,1,0
89187328,1.99,32338,261,4.5,1543,2,14,37,0,10,1,0
13647872,4.99,262,43,4.0,300,0,7,40,5,1,1,0
123544576,0.99,9657,47,4.5,766,2,7,38,0,12,1,0
1608704,2.99,18332,1007,5.0,975,2,7,37,5,2,1,0
50169856,0.0,53620,2872,5.0,1569,0,8,38,0,15,1,0
101181440,0.99,38533,36,3.5,1167,2,14,37,4,11,1,2
15329280,0.99,40,0,0.0,468,2,6,37,4,7,1,0
31845376,1.99,472,0,0.0,746,2,7,37,5,1,1,0
135032832,0.0,303856,7027,4.5,1143,2,6,37,0,2,1,0
54648832,0.0,2070,0,0.0,1363,2,19,37,0,1,1,2
8432232,2.99,7941,76,3.5,234,2,7,47,0,1,1,0
230720512,0.0,136833,64,4.5,1322,0,8,37,5,6,1,0
80211968,0.0,112886,298,1.5,1267,0,13,37,1,1,1,0
148201472,0.0,26353,3,2.5,1231,2,17,37,5,2,1,0
20795392,0.0,171055,31,3.5,1208,0,4,38,1,1,1,2
27934720,2.99,4540,140,4.5,740,3,7,43,5,15,1,0
208309248,0.0,1926,2,3.0,511,2,9,38,5,3,1,2
33812480,3.99,14345,100,2.5,1055,0,13,37,0,1,1,0
20298752,4.99,1340,288,5.0,437,2,9,38,0,1,1,0
101346304,3.99,31912,154,5.0,1439,2,1,37,5,9,1,0
210569216,0.0,354058,452,4.0,1413,1,13,37,2,33,1,0
110198784,0.0,248,0,0.0,850,2,20,37,4,1,1,0
78047232,0.0,11691,44,4.5,989,0,13,37,5,1,1,0
9946112,1.99,381,6,2.0,1585,0,4,38,0,1,1,2
44652544,0.0,18884,451,4.5,426,3,4,37,0,1,1,0
30369792,2.99,7410,82,4.5,437,3,16,37,5,1,1,0
376171520,1.99,15175,308,4.0,1177,2,7,38,0,6,1,0
96815104,0.99,3166,34,4.5,1344,2,1,37,5,5,1,0
169138176,0.0,88885,333,4.0,1389,0,17,37,5,1,1,0
364490752,9.99,882,85,5.0,730,0,7,43,5,1,1,0
44135424,3.99,1729,599,4.5,1425,1,9,37,5,3,1,0
112074752,0.0,43682,19,2.5,843,2,19,37,5,1,1,0
98942976,0.99,861,70,2.5,1115,2,4,40,4,1,1,2
77686784,0.0,7469,68,5.0,1237,0,8,37,0,2,1,0
94496768,0.0,4186,6,4.5,586,2,17,37,0,1,1,0
204959744,0.0,4885,0,0.0,1407,0,4,38,0,2,1,0
32796672,4.99,3970,509,4.0,799,1,7,40,3,5,1,0
105009152,0.0,135744,594,4.5,1298,2,11,37,4,7,1,0
22562816,0.0,18841,0,0.0,1434,2,18,38,2,29,1,0
52632576,3.99,1438,171,4.0,1566,2,12,37,3,10,1,0
151388160,0.0,10298,7,3.5,1457,2,8,37,0,15,1,0
47323136,0.99,1842,23,2.5,218,2,15,38,1,1,1,0
